No.	Title	Link	Authors	Keywords
107	Strategies for Pre-training Graph Neural Networks	https://openreview.net/forum?id=HJlWWJSFDH	Weihua Hu*, Bowen Liu*, Joseph Gomes, Marinka Zitnik, Percy Liang, Vijay Pande, Jure Leskovec	Pre-training, Transfer learning, Graph Neural Networks
108	Behaviour Suite for Reinforcement Learning	https://openreview.net/forum?id=rygf-kSYwH	Ian Osband, Yotam Doron, Matteo Hessel, John Aslanides, Eren Sezener, Andre Saraiva, Katrina McKinney, Tor Lattimore, Csaba Szepesvari, Satinder Singh, Benjamin Van Roy, Richard Sutton, David Silver, Hado Van Hasselt	reinforcement learning, benchmark, core issues, scalability, reproducibility
109	FreeLB: Enhanced Adversarial Training for Natural Language Understanding	https://openreview.net/forum?id=BygzbyHFvB	Chen Zhu, Yu Cheng, Zhe Gan, Siqi Sun, Tom Goldstein, Jingjing Liu	
110	Kernelized Wasserstein Natural Gradient	https://openreview.net/forum?id=Hklz71rYvS	M Arbel, A Gretton, W Li, G Montufar	kernel methods, natural gradient, information geometry, Wasserstein metric
111	And the Bit Goes Down: Revisiting the Quantization of Neural Networks	https://openreview.net/forum?id=rJehVyrKwH	Pierre Stock, Armand Joulin, Rémi Gribonval, Benjamin Graham, Hervé Jégou	compression, quantization
112	A Latent Morphology Model for Open-Vocabulary Neural Machine Translation	https://openreview.net/forum?id=BJxSI1SKDH	Duygu Ataman, Wilker Aziz, Alexandra Birch	neural machine translation, low-resource languages, latent-variable models
113	Understanding Why Neural Networks Generalize Well Through GSNR of Parameters	https://openreview.net/forum?id=HyevIJStwH	Jinlong Liu, Yunzhi Bai, Guoqing Jiang, Ting Chen, Huayan Wang	DNN, generalization, GSNR, gradient descent
114	Model Based Reinforcement Learning for Atari	https://openreview.net/forum?id=S1xCPJHtDB	Łukasz Kaiser, Mohammad Babaeizadeh, Piotr Miłos, Błażej Osiński, Roy H Campbell, Konrad Czechowski, Dumitru Erhan, Chelsea Finn, Piotr Kozakowski, Sergey Levine, Afroz Mohiuddin, Ryan Sepassi, George Tucker, Henryk Michalewski	reinforcement learning, model based rl, video prediction model, atari
115	Disagreement-Regularized Imitation Learning	https://openreview.net/forum?id=rkgbYyHtwB	Kiante Brantley, Wen Sun, Mikael Henaff	imitation learning, reinforcement learning, uncertainty
116	Stable Rank Normalization for Improved Generalization in Neural Networks and GANs	https://openreview.net/forum?id=H1enKkrFDB	Amartya Sanyal, Philip H. Torr, Puneet K. Dokania	Generelization, regularization, empirical lipschitz
